=== economy-table98.xlsx ===
Cell A1 | value='Return to contents' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='DA1 Channel through which the consumer purchased products that they experienced detriment with 

Base: All detriment incidents in the UK in the 12 months to April 2021' | fill=FFFFFF00 | rows=[1, 2, 3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Total' | fill=00000000 | rows=[1, 2, 3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='Product type' | fill=00000000 | rows=[1] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='Market cluster' | fill=00000000 | rows=[1] | cols=[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | col_header=False | row_header=False | metadata=False
Cell P2 | value='Sector' | fill=00000000 | rows=[1] | cols=[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Good' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='Service' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='Fast-moving retail' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='(Semi-)durable goods' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='Automotive goods and services' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='Telecoms and other digital subscriptions' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='Utilities' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='Housing-related services' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='Banking and insurance' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='Transport' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='Personal services' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='Recreational services' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='Other services' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='Groceries and drinks' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='Clothing, footwear and accessories' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='House and garden maintenance products' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='Stationery, books, magazines and newspapers' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='Personal care products' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='Spectacles and lenses' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='Furniture and appliances' | fill=00000000 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='Electronic devices and software' | fill=00000000 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='Entertainment items' | fill=00000000 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='New vehicles' | fill=00000000 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='Second-hand vehicles' | fill=00000000 | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='Fuel and accessories for vehicles' | fill=00000000 | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='Mobile telephone services' | fill=00000000 | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=False
