=== economy-table27.xlsx ===
Cell B1 | value='Quarterly National Accounts (for 'Developer API')' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Frequency of observation: Quarterly' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Reference area: Austria' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Table identifier: Table 0102 - GDP identity from the expenditure side' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Time period' | fill=FF00B050 | rows=[5] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E6 | value='2023-Q3' | fill=FF0549AB | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='2023-Q4' | fill=FF0549AB | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2024-Q1' | fill=FF0549AB | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2024-Q2' | fill=FF0549AB | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2024-Q3' | fill=FF0549AB | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Combined transaction' | fill=FFFFFF00 | rows=[6] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Combined unit of measure' | fill=FFFFFF00 | rows=[6] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Adjustment: Calendar and seasonally adjusted' | fill=00000000 | rows=[7] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Unit of measure: National currency' | fill=00000000 | rows=[8] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Price base: Chain linked volume' | fill=00000000 | rows=[9] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Transformation: Non transformed data' | fill=00000000 | rows=[10] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Gross domestic product, Total economy' | fill=FFE2F2FB | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E12 | value='95210.2' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='94702' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='94902.1' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='94863.7' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='95113.9' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B13 | value='·  Domestic demand, Total economy' | fill=FFE2F2FB | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E13 | value='90168.1' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='88393' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='88555.8' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='88822.9' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='89283.7' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B14 | value='·  Final consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E14 | value='67231.6' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='66816.5' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='67174.5' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='66839.3' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='67151' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B15 | value='·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)' | fill=FFE2F2FB | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E15 | value='47735.9' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='47639.8' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='47796.1' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='47502.5' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='47725.7' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B16 | value='·  ·  ·  Final consumption expenditure, Households' | fill=FFE2F2FB | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E16 | value='45577.6' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='45465.7' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='45590.4' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='45289.3' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B17 | value='·  ·  ·  Final consumption expenditure, Non-profit institutions serving households' | fill=FFE2F2FB | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E17 | value='2000.7' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='2016.8' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='2017' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='2025.7' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B18 | value='·  ·  Final consumption expenditure, General government' | fill=FFE2F2FB | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E18 | value='19493.2' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='19177.7' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='19379' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='19338.2' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='19426.6' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B19 | value='·  ·  Individual consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B20 | value='·  ·  ·  Individual consumption expenditure, General government' | fill=FFE2F2FB | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E20 | value='12381.8' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='12090.3' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='12234.5' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='12184.2' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B21 | value='·  ·  Collective consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B22 | value='·  ·  ·  Collective consumption expenditure, General government' | fill=FFE2F2FB | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E22 | value='7088.9' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='7070.6' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='7113.5' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='7124.4' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B23 | value='·  Actual individual consumption, Total economy' | fill=FFE2F2FB | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E23 | value='60129.7' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='59733.6' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='60038.5' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='59694.6' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B24 | value='·  Gross capital formation, Total economy' | fill=FFE2F2FB | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E24 | value='22492.6' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='21385.9' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='21405.7' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='21477' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B25 | value='·  ·  Gross fixed capital formation, Total economy' | fill=FFE2F2FB | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E25 | value='22465.4' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='22504.2' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='22081.2' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='21937.5' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='21861.4' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B26 | value='·  External balance of goods and services, Total economy' | fill=FFE2F2FB | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E26 | value='4823.4' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='6029' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='6101.3' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='5765' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='5582.7' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B27 | value='·  ·  Exports of goods and services, Total economy' | fill=FFE2F2FB | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E27 | value='57093' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='56777.6' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='56827.9' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
