=== education-table01.xlsx ===
Cell A1 | value='<return>' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell D1 | value='Mean Estimates' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Lower 95% CI Estimates' | fill=FFFFFF00 | rows=[0] | cols=[8, 9, 10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='Upper 95% CI Estimates' | fill=FFFFFF00 | rows=[0] | cols=[13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell A2 | value='STWard Code' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='ST WardName' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Pop' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='EL1 and below' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='EL2' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='EL3' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='L1' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='L2 and above' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='EL1 and below' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='EL2' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='EL3' | fill=00000000 | rows=[1] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L2 | value='L1' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='L2 and above' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='EL1 and below' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='EL2' | fill=00000000 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
