=== education-table31.xlsx ===
Cell A1 | value='WP ID' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Class' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Method' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='1 - Fine' | fill=00000000 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E1 | value='2 - Wandered' | fill=00000000 | rows=[0] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F1 | value='3 - Golden' | fill=00000000 | rows=[0] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G1 | value='4 - Live' | fill=00000000 | rows=[0] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H1 | value='5 - Peered' | fill=00000000 | rows=[0] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I1 | value='6 - Shrunk' | fill=00000000 | rows=[0] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J1 | value='7 - Scratching' | fill=00000000 | rows=[0] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K1 | value='8 - Standing' | fill=00000000 | rows=[0] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L1 | value='9 - Surprised' | fill=00000000 | rows=[0] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M1 | value='10 - Changed' | fill=00000000 | rows=[0] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N1 | value='11 - Spring' | fill=00000000 | rows=[0] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O1 | value='12 - Thought' | fill=00000000 | rows=[0] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P1 | value='13 - Fall' | fill=00000000 | rows=[0] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q1 | value='14 - Visit' | fill=00000000 | rows=[0] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R1 | value='15 - Hand' | fill=00000000 | rows=[0] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S1 | value='16 - Look' | fill=00000000 | rows=[0] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T1 | value='TOTAL' | fill=FFFFFF00 | rows=[0] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell A2 | value='103' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B2 | value='3' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='Blended' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='0' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
