=== education-table18.xlsx ===
Cell A2 | value='Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Grade' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Gender' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='Total Students' | fill=00000000 | rows=[3, 4] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Race/Ethnicity' | fill=00000000 | rows=[3] | cols=[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='Students With Disabilities Served Under IDEA' | fill=00000000 | rows=[3, 4] | cols=[18, 19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='Students With Disabilities Served Only Under Section 504' | fill=00000000 | rows=[3, 4] | cols=[20, 21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='English Language Learners' | fill=00000000 | rows=[3, 4] | cols=[22, 23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='Number of Schools' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z4 | value='Percent of Schools Reporting' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell E5 | value='American Indian or
Alaska Native' | fill=00000000 | rows=[4] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Asian' | fill=00000000 | rows=[4] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='Hispanic or Latino of any race' | fill=00000000 | rows=[4] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='Black or African American' | fill=00000000 | rows=[4] | cols=[10, 11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='White' | fill=00000000 | rows=[4] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='Native Hawaiian or Other Pacific Islander' | fill=00000000 | rows=[4] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='Two or more races' | fill=00000000 | rows=[4] | cols=[16, 17] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W6 | value='Number' | fill=FFFFFF00 | rows=[5] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X6 | value='Percent' | fill=FFFFFF00 | rows=[5] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell B7 | value='Male' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1668' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='65.15625' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='8' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.3125' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='15' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.5859375' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='182' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='7.109375' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='425' | fill=None | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='16.6015625' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='993' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='38.7890625' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='1-3' | fill=None | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.078125' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='43' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='1.6796875' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='292' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='11.40625' | fill=None | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='6' | fill=None | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0.234375' | fill=None | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='150' | fill=None | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='5.859375' | fill=None | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='726' | fill=None | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='100' | fill=None | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Kindergarten' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Female' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='892' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='34.84375' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='1-3' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.078125' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='6' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0.234375' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='91' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='3.5546875' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='228' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='8.90625' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='540' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='21.09375' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='1-3' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.078125' | fill=00000000 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='23' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0.8984375' | fill=00000000 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='121' | fill=00000000 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
