=== environment-table10.xlsx ===
Cell A1 | value='Year' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Solid' | fill=00000000 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1 | value='Gas' | fill=00000000 | rows=[0] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1 | value='Electric' | fill=00000000 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E1 | value='Oil' | fill=00000000 | rows=[0] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F1 | value='Renewables' | fill=00000000 | rows=[0] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G1 | value='All fuels' | fill=00000000 | rows=[0] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A2 | value='1970' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B2 | value='196.475516370534' | fill=58 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='101.285493553738' | fill=58 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='73.9894271285252' | fill=58 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='37.4782806272026' | fill=58 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G2 | value='409.22871768' | fill=54 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A3 | value='1971' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='168.362530863227' | fill=58 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='112.244082517061' | fill=58 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='77.6140792211091' | fill=58 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='36.9950148186034' | fill=58 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G3 | value='395.21570742' | fill=54 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A4 | value='1972' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='148.016278269758' | fill=58 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='128.555829304263' | fill=58 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='83.3147226918648' | fill=58 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='42.4296899541144' | fill=58 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G4 | value='402.31652022' | fill=54 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A5 | value='1973' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='144.751812534546' | fill=58 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='137.732519031976' | fill=58 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='87.8847784504489' | fill=58 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='46.5373615030288' | fill=58 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='416.90647152' | fill=54 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A6 | value='1974' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='136.458919803902' | fill=58 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='154.458956562288' | fill=58 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='89.337080120124' | fill=58 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='41.377993553687' | fill=58 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G6 | value='421.63295004' | fill=54 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A7 | value='1975' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='115.709400944655' | fill=58 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='169.39883238635' | fill=58 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='86.0501890184096' | fill=58 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='40.0452088905851' | fill=58 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G7 | value='411.20363124' | fill=54 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A8 | value='1976' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='106.847369664884' | fill=58 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='177.80907764026' | fill=58 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='81.9116159480152' | fill=58 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='39.8868994268413' | fill=58 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G8 | value='406.45496268' | fill=54 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A9 | value='1977' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='108.224764858808' | fill=58 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='189.435416323706' | fill=58 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='82.6164537880069' | fill=58 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='40.2024329894798' | fill=58 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G9 | value='420.47906796' | fill=54 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A10 | value='1978' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='98.6498155737508' | fill=58 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='208.65088326979' | fill=58 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='82.4545287111298' | fill=58 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='39.5000012253293' | fill=58 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G10 | value='429.25522878' | fill=54 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A11 | value='1979' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='99.4729569977107' | fill=58 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='236.804964713614' | fill=58 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='86.3182640411517' | fill=58 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='38.5794155675237' | fill=58 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G11 | value='461.17560132' | fill=54 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A12 | value='1980' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='86.0149369492432' | fill=58 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='242.544100976427' | fill=58 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='82.6870389320323' | fill=58 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='30.7906149622974' | fill=58 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='442.03669182' | fill=54 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A13 | value='1981' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='79.8394135095337' | fill=58 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='251.657991244937' | fill=58 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='81.1172250225214' | fill=58 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='27.5691937030078' | fill=58 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G13 | value='440.18382348' | fill=54 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A14 | value='1982' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='78.6896979867846' | fill=58 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='251.089829427272' | fill=58 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='79.6709927146904' | fill=58 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='25.673974231253' | fill=58 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='435.12449436' | fill=54 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A15 | value='1983' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='73.1795082833228' | fill=58 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='255.463305200015' | fill=58 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='79.8021083918021' | fill=58 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='24.4161884048596' | fill=58 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G15 | value='432.86111028' | fill=54 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A16 | value='1984' | fill=00000000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='57.4471562391207' | fill=58 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='256.875946319255' | fill=58 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='80.5543545941099' | fill=58 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='25.5794207675147' | fill=58 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G16 | value='420.45687792' | fill=54 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A17 | value='1985' | fill=00000000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='74.2787296880988' | fill=58 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='280.772348938723' | fill=58 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='85.3250218332921' | fill=58 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='26.3026307798857' | fill=58 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G17 | value='466.67873124' | fill=54 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A18 | value='1986' | fill=00000000 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='72.9504706659592' | fill=58 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='296.148818329192' | fill=58 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='88.5801466941379' | fill=58 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='27.1729383107106' | fill=58 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G18 | value='484.852374' | fill=54 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A19 | value='1987' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='62.9627842307339' | fill=58 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='303.559515980921' | fill=58 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='89.8930557743342' | fill=58 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='25.7742132140108' | fill=58 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G19 | value='482.1895692' | fill=54 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A20 | value='1988' | fill=00000000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='59.2269174536571' | fill=58 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='296.820738337294' | fill=58 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
