=== economy-table24.xlsx ===
Cell B1 | value='Africa's Development Dynamics (AfDD) - all tables, all indicators' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Frequency of observation: Annual' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Time period: 2023' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Table identifier' | fill=FF00B050 | rows=[4] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='Table 01 - Indicators of growth, employment and inequality' | fill=00000000 | rows=[4] | cols=[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='Table 05 - Demographic estimates' | fill=00000000 | rows=[4] | cols=[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='Table 06 - Basic education indicators' | fill=00000000 | rows=[4] | cols=[27, 28, 29, 30, 31, 32, 33, 34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='Table 07 - Labour force characteristics' | fill=00000000 | rows=[4] | cols=[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Combined measure' | fill=FF00B050 | rows=[5] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='Population' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Gross domestic product' | fill=00000000 | rows=[5] | cols=[4, 5, 6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='Growth rate of real gross domestic product' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='Inflation, average consumer prices' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='Gini coefficient (World Bank estimate)' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='Population in extreme poverty ($2.15 a day)' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='Human development index (HDI)' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='Inequality-adjusted HDI (IHDI)' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='Population with access to electricity' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='Population' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='Population, Urban area' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='Population, Rural area' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='Population living in urban agglomerations of 300,000 to 1 million inhabitants' | fill=00000000 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='Number of urban agglomerations of 300,000 to 1 million inhabitants' | fill=00000000 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='Population living in urban agglomerations of over 1 million inhabitants' | fill=00000000 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='Number of urban agglomerations of over 1 million inhabitants' | fill=00000000 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='Old-age dependency ratio' | fill=00000000 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='Child dependency ratio' | fill=00000000 | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='Total dependency ratio' | fill=00000000 | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='Population with access to electricity' | fill=00000000 | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='Population with access to electricity, Urban area' | fill=00000000 | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='Population with access to electricity, Rural area' | fill=00000000 | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='Youth literacy rate, Female' | fill=00000000 | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='Youth literacy rate, Male' | fill=00000000 | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='Youth literacy rate' | fill=00000000 | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=False
