=== education-table33.xlsx ===
Cell L1 | value='SESSION-2014-15' | fill=00000000 | rows=[0] | cols=[11, 12, 13, 14] | col_header=False | row_header=False | metadata=False
Cell A2 | value='NAME' | fill=FF00B050 | rows=[1] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C2 | value='AMARJEET' | fill=00000000 | rows=[1] | cols=[2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell J2 | value='FATHER'S NAME' | fill=FF00B050 | rows=[1] | cols=[9, 10, 11] | col_header=False | row_header=True | metadata=False
Cell M2 | value='INDERSAIN CHOUDARY' | fill=00000000 | rows=[1] | cols=[12, 13, 14, 15] | col_header=False | row_header=False | metadata=False
Cell R2 | value='CLASS' | fill=FF00B050 | rows=[1] | cols=[17, 18] | col_header=False | row_header=True | metadata=False
Cell T2 | value='3RD B' | fill=FFFFC000 | rows=[1] | cols=[19, 20] | col_header=False | row_header=False | metadata=False
Cell W2 | value='ROLL NO.' | fill=FF00B050 | rows=[1] | cols=[22, 23] | col_header=False | row_header=True | metadata=False
Cell Y2 | value='1' | fill=FFFFC000 | rows=[1] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell A4 | value='SUBJECT' | fill=FFFFFF00 | rows=[3, 4, 5, 6] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='1st MONTHLY TEST' | fill=00000000 | rows=[3, 4] | cols=[2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='2nd MONTHLY TEST' | fill=00000000 | rows=[3, 4] | cols=[5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='ANNUAL EXAM' | fill=00000000 | rows=[3, 4] | cols=[8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='TOTAL MARKS' | fill=FFFFFF00 | rows=[3, 4, 5, 6] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M4 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[3, 4, 5, 6] | cols=[12, 13] | col_header=True | row_header=False | metadata=False
Cell O4 | value='OTHER DESCRIPTION' | fill=FFFFFF00 | rows=[3, 4, 5, 6] | cols=[14, 15] | col_header=True | row_header=False | metadata=False
Cell Q4 | value='1st MONTHLY TEST' | fill=00000000 | rows=[3, 4, 5] | cols=[16, 17, 18, 19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='2nd MONTHLY TEST' | fill=00000000 | rows=[3, 4, 5] | cols=[20, 21, 22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='ANNUAL EXAM' | fill=00000000 | rows=[3, 4, 5] | cols=[23, 24, 25] | col_header=False | row_header=False | metadata=False
Cell C6 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[5, 6] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D6 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[5, 6] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F6 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[5, 6] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[5, 6] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[5, 6] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[5, 6] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='REMARKS' | fill=FFFFFF00 | rows=[6] | cols=[16, 17, 18, 19] | col_header=True | row_header=False | metadata=False
Cell U7 | value='REMARKS' | fill=FFFFFF00 | rows=[6] | cols=[20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell X7 | value='REMARKS' | fill=FFFFFF00 | rows=[6] | cols=[23, 24, 25] | col_header=True | row_header=False | metadata=False
Cell A8 | value='HINDI / URDU/ TAMIL / BANGALI / PUNJABI' | fill=00000000 | rows=[7] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='10' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='5' | fill=00000000 | rows=[7] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='15' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='9' | fill=00000000 | rows=[7] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='75' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=00000000 | rows=[7] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='100' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='14' | fill=00000000 | rows=[7] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='DISCIPLINE' | fill=00000000 | rows=[7] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
