=== economy-table99.xlsx ===
Cell A1 | value='Table 3: Number of buildings and final customers' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B5 | value='Residential' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='Commercial' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Retail' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Light Industrial' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='Industrial' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Education' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='Public' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='Other' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='Total' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Number of Buildings' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A9 | value='England' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='54247' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='4973' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='454' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='174' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='13' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='6538' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='643' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1071' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='68113' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Scotland' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='6239' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='403' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='31' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='8' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='24' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='65' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='72' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='80' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='6922' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Wales' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='278' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='138' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='4' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='0' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='4' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='20' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='39' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='11' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='494' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Northern Ireland' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='68' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='36' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='3' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='0' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='4' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='5' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='116' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
