=== education-table11.xlsx ===
Cell A1 | value='Skills for Life Participation and Achievement by Level, Age and Provider Type (2010/11)' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B3 | value='Participation' | fill=00000000 | rows=[2] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='Achievement' | fill=00000000 | rows=[2] | cols=[8, 9, 10, 11, 12, 13, 14] | col_header=False | row_header=False | metadata=False
Cell A4 | value='All Ages' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='General FE College incl Tertiary' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='Sixth form college' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Special colleges' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Other Public Funded' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='Schools' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='Private Sector Public Funded' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='Total' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='General FE College incl Tertiary' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='Sixth form college' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='Special colleges' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='Other Public Funded' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='Schools' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='Private Sector Public Funded' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='Total' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A5 | value='of which EnglishR' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='485340' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='17530' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='18620' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='95670' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='560' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='411040' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1028700' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='275230' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='12620' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='10390' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='69320' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='360' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='172920' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='540800' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A6 | value='of which mathsR' | fill=9 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='437520' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='21530' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='16620' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='77150' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
