=== economy-table118.xlsx ===
Cell B1 | value='National Statistics' | fill=FF00B0F0 | rows=[0] | cols=[1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=True
Cell B2 | value='2007-08' | fill=31 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='2008-09' | fill=31 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='2009-10' | fill=31 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='2010-11' | fill=31 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='2011-12' | fill=31 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='2012-13' | fill=31 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='2013-14' | fill=31 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='2014-15' | fill=31 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B3 | value='outturn' | fill=31 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='outturn' | fill=31 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='outturn' | fill=31 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='outturn' | fill=31 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='outturn' | fill=31 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='plans' | fill=31 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='plans' | fill=31 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='plans' | fill=31 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Total DEL' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Education' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='49915' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='52160' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='56827' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='58352' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='56220' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='57005' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='56769' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='58017' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A6 | value='NHS (Health)' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='85673' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='92279' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='99677' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='101840' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='104241' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='108789' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='111368' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='114436' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Personal Social Services (Health)' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='1767' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1275' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='1393' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='1522' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='-' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='-' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='-' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='-' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Transport' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='12839' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='12687' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='13905' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='12474' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
