=== economy-table51.xlsx ===
Cell B2 | value='Actual Table' | fill=FFFFFF00 | rows=[1] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell B3 | value='A' | fill=00000000 | rows=[2, 3, 4, 5, 6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='A01101' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='21051960' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C4 | value='A01158' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='1337120' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C5 | value='A01202' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='31507272' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C6 | value='A01203' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='39588720' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C7 | value='A01207' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='2687400' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B8 | value='TOTAL' | fill=FF00B050 | rows=[7] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='96172472' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B9 | value='B' | fill=00000000 | rows=[8, 9, 10, 11, 12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='A01101' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='31336020' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C10 | value='A01158' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='0' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C11 | value='A01202' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='25717440' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C12 | value='A01203' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='42072852' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C13 | value='A01207' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='2745000' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B14 | value='TOTAL' | fill=FF00B050 | rows=[13] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='101871312' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B15 | value='C' | fill=00000000 | rows=[14, 15, 16, 17, 18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='A01101' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='3924390' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C16 | value='A01158' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C17 | value='A01202' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='497760' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C18 | value='A01203' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='514452' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C19 | value='A01207' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='10800' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B20 | value='TOTAL' | fill=FF00B050 | rows=[19] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D20 | value='4947402' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False

