=== economy-table73.xlsx ===
Cell D1 | value='CASH BOOK - DO NOT PRINT' | fill=FF00B0F0 | rows=[0] | cols=[3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=True
Cell I1 | value='Station:' | fill=FF00B0F0 | rows=[0] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell M1 | value='Sequence Number:' | fill=FF00B0F0 | rows=[0] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A2 | value='Data MUST be entered, where column titles are in BLUE' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=True
Cell G2 | value='GST Exclusive Amount Only' | fill=31 | rows=[1] | cols=[6, 7, 8, 9, 10, 11, 12, 13] | col_header=False | row_header=False | metadata=False
Cell A3 | value='#' | fill=FFFFFF00 | rows=[2, 3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='Payment Method' | fill=FFFFFF00 | rows=[2, 3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Date' | fill=FFFFFF00 | rows=[2, 3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Receipt #' | fill=FFFFFF00 | rows=[2, 3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Name' | fill=FFFFFF00 | rows=[2, 3] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Amount Received (GST Inc)' | fill=FFFFFF00 | rows=[2, 3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Check' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='Permit' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='Permit' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='Licence' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='Reports' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='Services' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='Reports' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
