=== education-table17.xlsx ===
Cell A1 | value='State' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Total Students' | fill=FFFFFF00 | rows=[0, 1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Race/Ethnicity' | fill=00000000 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15] | col_header=False | row_header=False | metadata=False
Cell Q1 | value='Students With Disabilities Served Under IDEA' | fill=00000000 | rows=[0, 1] | cols=[16, 17] | col_header=False | row_header=False | metadata=False
Cell S1 | value='Students With Disabilities Served Only Under Section 504' | fill=00000000 | rows=[0, 1] | cols=[18, 19] | col_header=False | row_header=False | metadata=False
Cell U1 | value='English Language Learners' | fill=00000000 | rows=[0, 1] | cols=[20, 21] | col_header=False | row_header=False | metadata=False
Cell W1 | value='Number of Schools' | fill=FFFFFF00 | rows=[0, 1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X1 | value='Percent of Schools Reporting' | fill=FFFFFF00 | rows=[0, 1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell C2 | value='American Indian or
Alaska Native' | fill=00000000 | rows=[1] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='Asian' | fill=00000000 | rows=[1] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='Hispanic or Latino of any race' | fill=00000000 | rows=[1] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='Black or African American' | fill=00000000 | rows=[1] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='White' | fill=00000000 | rows=[1] | cols=[10, 11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='Native Hawaiian or Other Pacific Islander' | fill=00000000 | rows=[1] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='Two or more races' | fill=00000000 | rows=[1] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell A4 | value='United States' | fill=None | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='6731214' | fill=None | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='110372' | fill=None | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='1.6397' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='153860' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='2.2858' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='1709892' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='25.4024' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='1333089' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='19.8046' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='3159685' | fill=None | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='46.9408' | fill=None | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='39506' | fill=None | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='0.5869' | fill=None | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='224810' | fill=None | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='3.33981' | fill=None | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='1131813' | fill=None | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='16.8144' | fill=None | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
